###,,,
###,,,
###,,,
# ME counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the ME light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58309.29867,0.034021991,36.3405247,0.183337178
58310.0937,0.03853588,30.63517429,0.18116598
58310.22816,0.03541088,29.99389866,0.211984826
58311.31078,0.073778935,18.74297475,0.111744028
58312.90627,0.074299769,21.66680782,0.104681171
58314.15973,0.060237269,27.55725933,0.198369762
58314.29719,0.068049769,24.80454039,0.133394573
58316.8473,0.040445602,22.49356633,0.130488662
58316.98073,0.038362269,21.17071777,0.164414071
58317.74023,0.074994213,17.90071993,0.091220503
58318.5348,0.07447338,13.8365954,0.085594666
58320.79336,0.078292824,14.07236852,0.093292713
58320.9609,0.043396991,17.89415051,0.161801897
58321.07988,0.028292824,19.59527506,0.206811785
58322.85009,0.076209491,21.85641815,0.117531828
58323.0361,0.062667824,22.75461322,0.139270995
58325.03833,0.074994213,22.47777052,0.124064645
58325.18494,0.03853588,21.53418863,0.133034251
58326.2963,0.05884838,12.98083395,0.098445911
58326.44831,0.041834491,13.57854127,0.103092234
58326.57834,0.039577546,11.89743669,0.109382352
58327.18927,0.092008102,9.380504175,0.072142423
58329.04223,0.091313657,4.231437458,0.060325941
58330.70014,0.092876157,3.790671052,0.059335794
58331.76139,0.090445602,3.209572559,0.064562255
58332.53417,0.070653935,2.841699086,0.05784424
58332.70787,0.071695602,3.098723944,0.062499488
58334.58712,0.073258102,2.679936156,0.054496586
58334.7294,0.03697338,3.914959831,0.089515697
58335.60103,0.092181713,2.438894325,0.050531922
58336.39919,0.090445602,2.292238297,0.06017199
58338.62929,0.073084491,2.373303381,0.056348046
58338.76693,0.034021991,2.95035122,0.086756481
58339.57771,0.088883102,2.898359329,0.056794653
58341.67563,0.072216435,2.426434865,0.058986322
58343.59889,0.069438657,2.350742456,0.062398104
58345.34638,0.096695602,1.479558244,0.057855111
58347.33486,0.096695602,1.16941711,0.057658741
58349.78765,0.096695602,2.013019962,0.062007623
58352.5972,0.071869213,2.124368218,0.062289775
58356.80132,0.034369213,2.954600279,0.129633911
58356.97119,0.068744213,3.138705877,0.146533539
58358.62582,0.073952546,1.788130452,0.06008603
58360.02264,0.073084491,1.922992721,0.075725296
58362.07323,0.073258102,1.555190491,0.059202812
58364.68554,0.069265046,2.580731242,0.081693886
58367.0085,0.039230324,2.433642989,0.077746198
58376.14704,0.066834491,1.669597912,0.073651692
58376.30221,0.033674769,2.191697362,0.108786679
58377.56543,0.096521991,2.131484449,0.065485846
58379.4212,0.097737269,2.093522446,0.062144441
58381.17249,0.070827546,3.675041287,0.07458666
58382.73872,0.096695602,7.472627718,0.099973821
58383.53461,0.096521991,22.58294337,0.10527734
